seed,val_size,test_size,val_pos,test_pos,val_acc,val_auc,test_acc,test_auc,all_acc,all_auc
0,1200,1200,371,370,0.810833,0.845096,0.812500,0.848290,0.811667,0.846708
1,1200,1200,371,370,0.817500,0.849014,0.805833,0.844482,0.811667,0.846708
2,1200,1200,371,370,0.820833,0.854239,0.802500,0.838766,0.811667,0.846708
3,1200,1200,371,370,0.805833,0.842300,0.817500,0.851369,0.811667,0.846708
4,1200,1200,371,370,0.809167,0.850484,0.814167,0.843795,0.811667,0.846708
5,1200,1200,371,370,0.808333,0.851646,0.815000,0.841880,0.811667,0.846708
6,1200,1200,371,370,0.817500,0.862384,0.805833,0.831309,0.811667,0.846708
7,1200,1200,371,370,0.813333,0.851152,0.810000,0.842599,0.811667,0.846708
8,1200,1200,371,370,0.816667,0.840686,0.806667,0.852631,0.811667,0.846708
9,1200,1200,371,370,0.811667,0.836846,0.811667,0.856757,0.811667,0.846708
10,1200,1200,371,370,0.831667,0.857897,0.791667,0.835241,0.811667,0.846708
11,1200,1200,371,370,0.827500,0.863990,0.795833,0.829748,0.811667,0.846708
12,1200,1200,371,370,0.804167,0.846607,0.819167,0.847253,0.811667,0.846708
13,1200,1200,371,370,0.807500,0.842729,0.815833,0.851223,0.811667,0.846708
14,1200,1200,371,370,0.819167,0.850770,0.804167,0.842551,0.811667,0.846708
15,1200,1200,371,370,0.823333,0.854100,0.800000,0.839056,0.811667,0.846708
16,1200,1200,371,370,0.800833,0.842325,0.822500,0.850345,0.811667,0.846708
17,1200,1200,371,370,0.817500,0.849632,0.805833,0.843623,0.811667,0.846708
18,1200,1200,371,370,0.812500,0.847548,0.810833,0.845897,0.811667,0.846708
19,1200,1200,371,370,0.797500,0.831892,0.825833,0.861452,0.811667,0.846708
20,1200,1200,371,370,0.800833,0.832564,0.822500,0.861768,0.811667,0.846708
21,1200,1200,371,370,0.808333,0.838941,0.815000,0.854845,0.811667,0.846708
22,1200,1200,371,370,0.806667,0.840518,0.816667,0.852823,0.811667,0.846708
23,1200,1200,371,370,0.788333,0.827240,0.835000,0.865116,0.811667,0.846708
24,1200,1200,371,370,0.824167,0.870396,0.799167,0.822392,0.811667,0.846708
25,1200,1200,371,370,0.815833,0.843750,0.807500,0.849144,0.811667,0.846708
26,1200,1200,371,370,0.819167,0.858990,0.804167,0.833769,0.811667,0.846708
27,1200,1200,371,370,0.801667,0.831494,0.821667,0.861869,0.811667,0.846708
28,1200,1200,371,370,0.822500,0.850832,0.800833,0.841828,0.811667,0.846708
29,1200,1200,371,370,0.806667,0.832936,0.816667,0.860236,0.811667,0.846708
30,1200,1200,371,370,0.826667,0.853766,0.796667,0.839271,0.811667,0.846708
31,1200,1200,371,370,0.825833,0.854799,0.797500,0.838474,0.811667,0.846708
32,1200,1200,371,370,0.820833,0.855407,0.802500,0.838541,0.811667,0.846708
33,1200,1200,371,370,0.814167,0.844223,0.809167,0.849026,0.811667,0.846708
34,1200,1200,371,370,0.805833,0.845282,0.817500,0.847317,0.811667,0.846708
35,1200,1200,371,370,0.805833,0.845321,0.817500,0.848167,0.811667,0.846708
36,1200,1200,371,370,0.815833,0.847974,0.807500,0.845459,0.811667,0.846708
37,1200,1200,371,370,0.818333,0.861640,0.805000,0.831758,0.811667,0.846708
38,1200,1200,371,370,0.799167,0.823769,0.824167,0.869756,0.811667,0.846708
39,1200,1200,371,370,0.805000,0.845709,0.818333,0.847454,0.811667,0.846708
40,1200,1200,371,370,0.824167,0.855003,0.799167,0.838714,0.811667,0.846708
41,1200,1200,371,370,0.806667,0.846169,0.816667,0.847390,0.811667,0.846708
42,1200,1200,371,370,0.814167,0.857053,0.809167,0.835462,0.811667,0.846708
43,1200,1200,371,370,0.810833,0.838086,0.812500,0.855207,0.811667,0.846708
44,1200,1200,371,370,0.815833,0.842021,0.807500,0.852034,0.811667,0.846708
45,1200,1200,371,370,0.812500,0.852924,0.810833,0.840853,0.811667,0.846708
46,1200,1200,371,370,0.812500,0.848870,0.810833,0.845103,0.811667,0.846708
47,1200,1200,371,370,0.818333,0.853088,0.805000,0.840000,0.811667,0.846708
48,1200,1200,371,370,0.816667,0.851326,0.806667,0.841436,0.811667,0.846708
49,1200,1200,371,370,0.810833,0.851302,0.812500,0.841745,0.811667,0.846708
50,1200,1200,371,370,0.811667,0.847777,0.811667,0.845814,0.811667,0.846708
51,1200,1200,371,370,0.812500,0.859128,0.810833,0.834774,0.811667,0.846708
52,1200,1200,371,370,0.815833,0.856314,0.807500,0.837007,0.811667,0.846708
53,1200,1200,371,370,0.802500,0.841346,0.820833,0.852476,0.811667,0.846708
54,1200,1200,371,370,0.811667,0.847252,0.811667,0.846770,0.811667,0.846708
55,1200,1200,371,370,0.815000,0.841629,0.808333,0.851819,0.811667,0.846708
56,1200,1200,371,370,0.815833,0.855319,0.807500,0.837994,0.811667,0.846708
57,1200,1200,371,370,0.817500,0.845597,0.805833,0.847561,0.811667,0.846708
58,1200,1200,371,370,0.795000,0.835679,0.828333,0.857099,0.811667,0.846708
59,1200,1200,371,370,0.825833,0.861506,0.797500,0.831364,0.811667,0.846708
60,1200,1200,371,370,0.812500,0.844423,0.810833,0.849048,0.811667,0.846708
61,1200,1200,371,370,0.808333,0.850900,0.815000,0.842654,0.811667,0.846708
62,1200,1200,371,370,0.832500,0.868968,0.790833,0.824852,0.811667,0.846708
63,1200,1200,371,370,0.810000,0.844155,0.813333,0.849339,0.811667,0.846708
64,1200,1200,371,370,0.805833,0.842622,0.817500,0.851006,0.811667,0.846708
65,1200,1200,371,370,0.800000,0.843864,0.823333,0.849319,0.811667,0.846708
66,1200,1200,371,370,0.795000,0.838137,0.828333,0.855142,0.811667,0.846708
67,1200,1200,371,370,0.832500,0.862638,0.790833,0.829464,0.811667,0.846708
68,1200,1200,371,370,0.800000,0.835828,0.823333,0.857540,0.811667,0.846708
69,1200,1200,371,370,0.815833,0.848933,0.807500,0.844437,0.811667,0.846708
70,1200,1200,371,370,0.824167,0.866149,0.799167,0.826755,0.811667,0.846708
71,1200,1200,371,370,0.811667,0.847320,0.811667,0.846366,0.811667,0.846708
72,1200,1200,371,370,0.821667,0.852991,0.801667,0.839987,0.811667,0.846708
73,1200,1200,371,370,0.809167,0.843757,0.814167,0.849896,0.811667,0.846708
74,1200,1200,371,370,0.821667,0.860336,0.801667,0.834175,0.811667,0.846708
75,1200,1200,371,370,0.820833,0.858035,0.802500,0.835148,0.811667,0.846708
76,1200,1200,371,370,0.824167,0.850443,0.799167,0.842753,0.811667,0.846708
77,1200,1200,371,370,0.817500,0.856033,0.805833,0.837073,0.811667,0.846708
78,1200,1200,371,370,0.809167,0.838972,0.814167,0.854598,0.811667,0.846708
79,1200,1200,371,370,0.801667,0.838277,0.821667,0.854840,0.811667,0.846708
80,1200,1200,371,370,0.811667,0.836843,0.811667,0.857281,0.811667,0.846708
81,1200,1200,371,370,0.829167,0.864192,0.794167,0.829547,0.811667,0.846708
82,1200,1200,371,370,0.787500,0.824534,0.835833,0.868826,0.811667,0.846708
83,1200,1200,371,370,0.820000,0.856208,0.803333,0.836281,0.811667,0.846708
84,1200,1200,371,370,0.800000,0.834142,0.823333,0.859222,0.811667,0.846708
85,1200,1200,371,370,0.823333,0.858899,0.800000,0.834175,0.811667,0.846708
86,1200,1200,371,370,0.802500,0.834611,0.820833,0.858948,0.811667,0.846708
87,1200,1200,371,370,0.798333,0.834950,0.825000,0.858209,0.811667,0.846708
88,1200,1200,371,370,0.805000,0.845833,0.818333,0.848595,0.811667,0.846708
89,1200,1200,371,370,0.803333,0.837303,0.820000,0.856592,0.811667,0.846708
90,1200,1200,371,370,0.809167,0.845246,0.814167,0.848170,0.811667,0.846708
91,1200,1200,371,370,0.816667,0.842424,0.806667,0.851005,0.811667,0.846708
92,1200,1200,371,370,0.819167,0.862308,0.804167,0.831190,0.811667,0.846708
93,1200,1200,371,370,0.811667,0.840523,0.811667,0.852970,0.811667,0.846708
94,1200,1200,371,370,0.800000,0.837397,0.823333,0.856008,0.811667,0.846708
95,1200,1200,371,370,0.808333,0.847540,0.815000,0.846237,0.811667,0.846708
96,1200,1200,371,370,0.812500,0.846277,0.810833,0.847353,0.811667,0.846708
97,1200,1200,371,370,0.810833,0.841803,0.812500,0.851869,0.811667,0.846708
98,1200,1200,371,370,0.806667,0.834975,0.816667,0.858522,0.811667,0.846708
99,1200,1200,371,370,0.811667,0.851111,0.811667,0.842302,0.811667,0.846708
100,1200,1200,371,370,0.806667,0.843217,0.816667,0.850291,0.811667,0.846708
101,1200,1200,371,370,0.819167,0.849320,0.804167,0.844546,0.811667,0.846708
102,1200,1200,371,370,0.808333,0.836123,0.815000,0.857613,0.811667,0.846708
103,1200,1200,371,370,0.813333,0.851941,0.810000,0.841977,0.811667,0.846708
104,1200,1200,371,370,0.804167,0.837896,0.819167,0.855003,0.811667,0.846708
105,1200,1200,371,370,0.813333,0.850422,0.810000,0.843006,0.811667,0.846708
106,1200,1200,371,370,0.819167,0.852716,0.804167,0.841412,0.811667,0.846708
107,1200,1200,371,370,0.821667,0.871621,0.801667,0.821597,0.811667,0.846708
108,1200,1200,371,370,0.797500,0.840305,0.825833,0.852962,0.811667,0.846708
109,1200,1200,371,370,0.800833,0.833336,0.822500,0.859938,0.811667,0.846708
110,1200,1200,371,370,0.806667,0.841835,0.816667,0.851784,0.811667,0.846708
111,1200,1200,371,370,0.801667,0.838018,0.821667,0.855949,0.811667,0.846708
112,1200,1200,371,370,0.800000,0.830628,0.823333,0.862115,0.811667,0.846708
113,1200,1200,371,370,0.808333,0.847576,0.815000,0.845568,0.811667,0.846708
114,1200,1200,371,370,0.815000,0.845638,0.808333,0.847432,0.811667,0.846708
115,1200,1200,371,370,0.805833,0.844854,0.817500,0.848030,0.811667,0.846708
116,1200,1200,371,370,0.794167,0.834954,0.829167,0.857187,0.811667,0.846708
117,1200,1200,371,370,0.812500,0.853122,0.810833,0.840412,0.811667,0.846708
118,1200,1200,371,370,0.819167,0.848452,0.804167,0.845190,0.811667,0.846708
119,1200,1200,371,370,0.800000,0.850154,0.823333,0.843263,0.811667,0.846708
120,1200,1200,371,370,0.799167,0.839254,0.824167,0.854516,0.811667,0.846708
121,1200,1200,371,370,0.816667,0.849344,0.806667,0.844793,0.811667,0.846708
122,1200,1200,371,370,0.820833,0.863545,0.802500,0.829606,0.811667,0.846708
123,1200,1200,371,370,0.811667,0.846433,0.811667,0.847042,0.811667,0.846708
124,1200,1200,371,370,0.810833,0.850417,0.812500,0.843255,0.811667,0.846708
125,1200,1200,371,370,0.810833,0.845464,0.812500,0.848030,0.811667,0.846708
126,1200,1200,371,370,0.805000,0.833330,0.818333,0.860075,0.811667,0.846708
127,1200,1200,371,370,0.803333,0.842708,0.820000,0.850309,0.811667,0.846708
128,1200,1200,371,370,0.812500,0.859497,0.810833,0.833393,0.811667,0.846708
129,1200,1200,371,370,0.821667,0.845947,0.801667,0.847740,0.811667,0.846708
130,1200,1200,371,370,0.818333,0.849590,0.805000,0.844306,0.811667,0.846708
131,1200,1200,371,370,0.803333,0.837062,0.820000,0.855990,0.811667,0.846708
132,1200,1200,371,370,0.798333,0.835488,0.825000,0.856999,0.811667,0.846708
133,1200,1200,371,370,0.817500,0.855081,0.805833,0.838207,0.811667,0.846708
134,1200,1200,371,370,0.806667,0.849175,0.816667,0.843603,0.811667,0.846708
135,1200,1200,371,370,0.817500,0.848452,0.805833,0.845171,0.811667,0.846708
136,1200,1200,371,370,0.821667,0.853127,0.801667,0.840317,0.811667,0.846708
137,1200,1200,371,370,0.801667,0.836830,0.821667,0.856381,0.811667,0.846708
138,1200,1200,371,370,0.804167,0.848514,0.819167,0.844420,0.811667,0.846708
139,1200,1200,371,370,0.800833,0.833030,0.822500,0.860290,0.811667,0.846708
140,1200,1200,371,370,0.802500,0.842144,0.820833,0.851250,0.811667,0.846708
141,1200,1200,371,370,0.822500,0.849748,0.800833,0.844341,0.811667,0.846708
142,1200,1200,371,370,0.810833,0.854155,0.812500,0.839173,0.811667,0.846708
143,1200,1200,371,370,0.813333,0.846550,0.810000,0.847206,0.811667,0.846708
144,1200,1200,371,370,0.805000,0.838264,0.818333,0.854904,0.811667,0.846708
145,1200,1200,371,370,0.815000,0.835942,0.808333,0.857388,0.811667,0.846708
146,1200,1200,371,370,0.817500,0.853667,0.805833,0.839445,0.811667,0.846708
147,1200,1200,371,370,0.799167,0.831996,0.824167,0.861861,0.811667,0.846708
148,1200,1200,371,370,0.819167,0.851424,0.804167,0.842141,0.811667,0.846708
149,1200,1200,371,370,0.820000,0.845439,0.803333,0.847683,0.811667,0.846708
150,1200,1200,371,370,0.797500,0.832900,0.825833,0.861107,0.811667,0.846708
151,1200,1200,371,370,0.815833,0.848585,0.807500,0.844671,0.811667,0.846708
152,1200,1200,371,370,0.814167,0.845142,0.809167,0.848557,0.811667,0.846708
153,1200,1200,371,370,0.802500,0.840749,0.820833,0.853781,0.811667,0.846708
154,1200,1200,371,370,0.792500,0.844931,0.830833,0.848414,0.811667,0.846708
155,1200,1200,371,370,0.813333,0.849422,0.810000,0.844865,0.811667,0.846708
156,1200,1200,371,370,0.815000,0.849829,0.808333,0.843225,0.811667,0.846708
157,1200,1200,371,370,0.825000,0.859864,0.798333,0.833922,0.811667,0.846708
158,1200,1200,371,370,0.800000,0.834705,0.823333,0.858273,0.811667,0.846708
159,1200,1200,371,370,0.822500,0.864226,0.800833,0.829637,0.811667,0.846708
160,1200,1200,371,370,0.811667,0.844371,0.811667,0.849357,0.811667,0.846708
161,1200,1200,371,370,0.800833,0.834828,0.822500,0.858831,0.811667,0.846708
162,1200,1200,371,370,0.815000,0.839985,0.808333,0.853652,0.811667,0.846708
163,1200,1200,371,370,0.800000,0.833473,0.823333,0.859113,0.811667,0.846708
164,1200,1200,371,370,0.830833,0.864194,0.792500,0.829378,0.811667,0.846708
165,1200,1200,371,370,0.800000,0.836565,0.823333,0.856653,0.811667,0.846708
166,1200,1200,371,370,0.827500,0.860565,0.795833,0.832688,0.811667,0.846708
167,1200,1200,371,370,0.801667,0.835596,0.821667,0.857704,0.811667,0.846708
168,1200,1200,371,370,0.814167,0.842775,0.809167,0.851029,0.811667,0.846708
169,1200,1200,371,370,0.821667,0.855176,0.801667,0.838476,0.811667,0.846708
170,1200,1200,371,370,0.800000,0.831525,0.823333,0.861576,0.811667,0.846708
171,1200,1200,371,370,0.803333,0.844506,0.820000,0.849795,0.811667,0.846708
172,1200,1200,371,370,0.811667,0.850305,0.811667,0.843136,0.811667,0.846708
173,1200,1200,371,370,0.799167,0.836069,0.824167,0.857144,0.811667,0.846708
174,1200,1200,371,370,0.794167,0.827272,0.829167,0.865956,0.811667,0.846708
175,1200,1200,371,370,0.820000,0.850661,0.803333,0.842870,0.811667,0.846708
176,1200,1200,371,370,0.814167,0.847073,0.809167,0.845918,0.811667,0.846708
177,1200,1200,371,370,0.817500,0.846651,0.805833,0.846810,0.811667,0.846708
178,1200,1200,371,370,0.825000,0.859120,0.798333,0.834331,0.811667,0.846708
179,1200,1200,371,370,0.816667,0.847558,0.806667,0.845728,0.811667,0.846708
180,1200,1200,371,370,0.820833,0.860622,0.802500,0.832457,0.811667,0.846708
181,1200,1200,371,370,0.817500,0.857065,0.805833,0.835744,0.811667,0.846708
182,1200,1200,371,370,0.801667,0.841656,0.821667,0.851399,0.811667,0.846708
183,1200,1200,371,370,0.822500,0.846296,0.800833,0.845855,0.811667,0.846708
184,1200,1200,371,370,0.809167,0.841286,0.814167,0.851933,0.811667,0.846708
185,1200,1200,371,370,0.810833,0.829134,0.812500,0.864728,0.811667,0.846708
186,1200,1200,371,370,0.819167,0.861840,0.804167,0.831755,0.811667,0.846708
187,1200,1200,371,370,0.812500,0.838550,0.810833,0.854829,0.811667,0.846708
188,1200,1200,371,370,0.811667,0.851524,0.811667,0.842794,0.811667,0.846708
189,1200,1200,371,370,0.825000,0.859445,0.798333,0.834000,0.811667,0.846708
190,1200,1200,371,370,0.810833,0.847047,0.812500,0.846063,0.811667,0.846708
191,1200,1200,371,370,0.820000,0.846218,0.803333,0.848030,0.811667,0.846708
192,1200,1200,371,370,0.810833,0.841240,0.812500,0.851977,0.811667,0.846708
193,1200,1200,371,370,0.820000,0.846534,0.803333,0.846460,0.811667,0.846708
194,1200,1200,371,370,0.810000,0.846758,0.813333,0.846706,0.811667,0.846708
195,1200,1200,371,370,0.810000,0.831746,0.813333,0.861159,0.811667,0.846708
196,1200,1200,371,370,0.810000,0.846088,0.813333,0.847594,0.811667,0.846708
197,1200,1200,371,370,0.822500,0.852215,0.800833,0.840873,0.811667,0.846708
198,1200,1200,371,370,0.820833,0.852957,0.802500,0.840537,0.811667,0.846708
199,1200,1200,371,370,0.804167,0.835076,0.819167,0.858326,0.811667,0.846708
200,1200,1200,371,370,0.810000,0.835066,0.813333,0.858157,0.811667,0.846708
201,1200,1200,371,370,0.802500,0.834601,0.820833,0.858925,0.811667,0.846708
202,1200,1200,371,370,0.808333,0.842552,0.815000,0.850599,0.811667,0.846708
203,1200,1200,371,370,0.805833,0.846096,0.817500,0.847348,0.811667,0.846708
204,1200,1200,371,370,0.805000,0.827792,0.818333,0.865873,0.811667,0.846708
205,1200,1200,371,370,0.817500,0.849034,0.805833,0.843774,0.811667,0.846708
206,1200,1200,371,370,0.817500,0.860806,0.805833,0.832064,0.811667,0.846708
207,1200,1200,371,370,0.807500,0.852085,0.815833,0.841459,0.811667,0.846708
208,1200,1200,371,370,0.814167,0.855400,0.809167,0.838152,0.811667,0.846708
209,1200,1200,371,370,0.810000,0.851227,0.813333,0.842475,0.811667,0.846708
210,1200,1200,371,370,0.805833,0.835593,0.817500,0.858919,0.811667,0.846708
211,1200,1200,371,370,0.818333,0.845989,0.805000,0.847395,0.811667,0.846708
212,1200,1200,371,370,0.809167,0.849079,0.814167,0.844512,0.811667,0.846708
213,1200,1200,371,370,0.799167,0.839242,0.824167,0.854676,0.811667,0.846708
214,1200,1200,371,370,0.802500,0.841039,0.820833,0.852563,0.811667,0.846708
215,1200,1200,371,370,0.808333,0.852011,0.815000,0.841449,0.811667,0.846708
216,1200,1200,371,370,0.817500,0.857413,0.805833,0.836081,0.811667,0.846708
217,1200,1200,371,370,0.815833,0.846033,0.807500,0.847178,0.811667,0.846708
218,1200,1200,371,370,0.812500,0.844921,0.810833,0.848318,0.811667,0.846708
219,1200,1200,371,370,0.793333,0.838587,0.830000,0.855265,0.811667,0.846708
220,1200,1200,371,370,0.806667,0.839491,0.816667,0.853787,0.811667,0.846708
221,1200,1200,371,370,0.825833,0.864624,0.797500,0.828912,0.811667,0.846708
222,1200,1200,371,370,0.820833,0.854865,0.802500,0.838644,0.811667,0.846708
223,1200,1200,371,370,0.816667,0.848167,0.806667,0.845897,0.811667,0.846708
224,1200,1200,371,370,0.825000,0.864598,0.798333,0.828530,0.811667,0.846708
225,1200,1200,371,370,0.803333,0.845597,0.820000,0.848885,0.811667,0.846708
226,1200,1200,371,370,0.810833,0.844667,0.812500,0.848779,0.811667,0.846708
227,1200,1200,371,370,0.805000,0.829272,0.818333,0.863702,0.811667,0.846708
228,1200,1200,371,370,0.819167,0.862818,0.804167,0.829801,0.811667,0.846708
229,1200,1200,371,370,0.802500,0.831164,0.820833,0.862042,0.811667,0.846708
230,1200,1200,371,370,0.823333,0.846238,0.800000,0.847190,0.811667,0.846708
231,1200,1200,371,370,0.815833,0.848974,0.807500,0.844404,0.811667,0.846708
232,1200,1200,371,370,0.816667,0.850861,0.806667,0.842680,0.811667,0.846708
233,1200,1200,371,370,0.820000,0.848439,0.803333,0.844262,0.811667,0.846708
234,1200,1200,371,370,0.800000,0.842590,0.823333,0.850656,0.811667,0.846708
235,1200,1200,371,370,0.822500,0.858157,0.800833,0.835620,0.811667,0.846708
236,1200,1200,371,370,0.809167,0.839657,0.814167,0.852993,0.811667,0.846708
237,1200,1200,371,370,0.809167,0.834807,0.814167,0.858317,0.811667,0.846708
238,1200,1200,371,370,0.808333,0.841699,0.815000,0.852064,0.811667,0.846708
239,1200,1200,371,370,0.824167,0.850086,0.799167,0.843709,0.811667,0.846708
240,1200,1200,371,370,0.805833,0.844266,0.817500,0.849010,0.811667,0.846708
241,1200,1200,371,370,0.822500,0.855251,0.800833,0.837612,0.811667,0.846708
242,1200,1200,371,370,0.813333,0.848041,0.810000,0.845635,0.811667,0.846708
243,1200,1200,371,370,0.813333,0.848442,0.810000,0.844500,0.811667,0.846708
244,1200,1200,371,370,0.810833,0.842347,0.812500,0.850957,0.811667,0.846708
245,1200,1200,371,370,0.812500,0.849808,0.810833,0.843745,0.811667,0.846708
246,1200,1200,371,370,0.818333,0.842484,0.805000,0.850985,0.811667,0.846708
247,1200,1200,371,370,0.810000,0.846332,0.813333,0.847393,0.811667,0.846708
248,1200,1200,371,370,0.803333,0.836326,0.820000,0.856701,0.811667,0.846708
249,1200,1200,371,370,0.821667,0.854734,0.801667,0.839267,0.811667,0.846708
